metric,stat,pval,across_domains
TLOC,5.497354901844704,1.13941885321744e-08,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NOP,6.035877244612773,9.751895250001802e-10,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NOC,23.600130341595502,4.3571246960313965e-49,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NOI,24.07535994771053,3.5589964631117244e-50,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NOM,71.16912316300828,1.2256390182426287e-160,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NOF,23.5011809111672,4.744800365071636e-49,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NORM,68.4244796899879,3.610940607366399e-154,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
PAR,1171.1105260030115,0.0,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NSM,13.5087538084087,2.9126736725193067e-26,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NSF,15.054762888937887,9.583975089854831e-30,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
WMC,49.22256305028174,5.2836342612192385e-109,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
DIT,418.96083624988273,0.0,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NSC,5.476847061429319,8.359457852154119e-09,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
LCOM,61.22565572329386,3.249395119527938e-137,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
MLOC,146.49683378714215,0.0,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
SIX,41.45124660917098,8.567755928392818e-91,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
VG,340.9043973237718,0.0,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
NBD,1146.7434501174228,0.0,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
RMD,17.55608467445576,2.5677045207825967e-35,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
CA,8.408931499505877,5.683660520563025e-15,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
CE,16.442917279921215,8.45762327473928e-33,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
RMI,35.65366615499905,8.35270942998367e-77,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
RMA,30.752307975752526,1.6544268824887447e-65,parsers/generators/make;3D/graphics/media;diagram generator/data visualization;programming language;database;middleware;IDE;testing;tool;SDK;games;__ALL__
